,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
439,Арвід Карлсан,Арвид Карлсон,Arvid Carlsson,Arvid Carlsson,Arvid Carlsson,Arvid Carlsson,Arvid Carlsson,Арвид Карлссон,Arvid Carlsson,Arvid Carlsson,Арвід Карлссон,f
440,Зоя Касмадзям’янская,Зоя Космодемянская,Zoia Kosmodemiànskaia,Zoja Kosmoděmjanská,Zoya Kosmodemyanskaya,Zoya Kosmodemiánskaya,Zoja Kosmodiemjanska,Зоя Космодемьянская,Zoja Anatoljevna Kosmodemjanskaja,Zoya Kosmodemyanskaya,Зоя Космодем'янська,f
441,Стэфані Кволек,Стефани Куолек,Stephanie Kwolek,Stephanie Kwoleková,Stephanie Kwolek,Stephanie Kwolek,Stephanie Kwolek,Стефани Кволек,Stephanie Kwolek,Stephanie Kwolek,Стефані Кволек,f
442,Джэк Кілбі,Джак Килби,Jack Kilby,Jack Kilby,Jack Kilby,Jack S. Kilby,Jack Kilby,Джек Килби,Jack St. Clair Kilby,Jack Kilby,Джек Кілбі,m
443,Генры Кісінджэр,Хенри Кисинджър,Henry Kissinger,Henry Kissinger,Henry Kissinger,Henry Kissinger,Henry Kissinger,Генри Киссинджер,Henry Kissinger,Henry Kissinger,Генрі Кіссінджер,m
444,Марсель Марсо,Марсел Марсо,Marcel Marceau,Marcel Marceau,Marcel Marceau,Marcel Marceau,Marcel Marceau,Марсель Марсо,Marcel Marceau,Marcel Marceau,Марсель Марсо,m
445,Норман Мейлер,Норман Мейлър,Norman Mailer,Norman Mailer,Norman Mailer,Norman Mailer,Norman Mailer,Норман Мейлер,Norman Mailer,Norman Mailer,Норман Мейлер,m
446,Шымон Перэс,Шимон Перес,Ximon Peres,Šimon Peres,Shimon Peres,Shimon Peres,Szimon Peres,Шимон Перес,Šimon Peres,Şimon Peres,Шимон Перес,m
447,Вал Логсдан Фіч,Вал Логсдън Фич,Val Logsdon Fitch,Val Logsdon Fitch,Val Logsdon Fitch,Val Logsdon Fitch,Val Fitch,Вал Логсдон Фитч,Val Logsdon Fitch,Val Fitch,Вал Логсден Фітч,m
448,Чарлтан Хестан,Чарлтън Хестън,Charlton Heston,Charlton Heston,Charlton Heston,Charlton Heston,Charlton Heston,Чарлтон Хестон,Charlton Heston,Charlton Heston,Чарлтон Гестон,m
449,Віслава Шымборска,Вислава Шимборска,Wisława Szymborska,Wisława Szymborská,Wisława Szymborska,Wisława Szymborska,Wisława Szymborska,Вислава Шимборская,Wisława Szymborska,Wislawa Szymborska,Віслава Шимборська,f
450,Алан Шэпард,Алън Шепърд,Alan Shepard,Alan Shepard,Alan Shepard,Alan Shepard,Alan Shepard,Алан Шепард,Alan Bartlett Shepard mlajši,Alan Shepard,Алан Шепард,m
451,Войцех Ярузельскі,Войчех Ярузелски,Wojciech Jaruzelski,Wojciech Jaruzelski,Wojciech Jaruzelski,Wojciech Jaruzelski,Wojciech Jaruzelski,Войцех Ярузельский,Wojciech Jaruzelski,Wojciech Witold Jaruzelski,Войцех Ярузельський,m
452,Шарль Азнавур,Шарл Азнавур,Charles Aznavour,Charles Aznavour,Charles Aznavour,Charles Aznavour,Charles Aznavour,Шарль Азнавур,Charles Aznavour,Charles Aznavour,Шарль Азнавур,m
453,Уілард Бойл,Уилард Бойл,Willard Boyle,Willard Sterling Boyle,Willard Boyle,Willard Boyle,Willard Boyle,Уиллард Бойл,Willard Sterling Boyle,Willard Boyle,Віллард Бойл,m
454,Марлан Бранда,Марлон Брандо,Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,Марлон Брандо,Marlon Brando,Marlon Brando,Марлон Брандо,m
455,Джордж Герберт Уокер Буш,Джордж Х. У. Буш,George Herbert Walker Bush,George H. W. Bush,George H. W. Bush,George H. W. Bush,George H.W. Bush,Джордж Герберт Уокер Буш,George H. W. Bush,George H. W. Bush,Джордж Герберт Вокер Буш,m
456,Джымі Картэр,Джими Картър,James Earl Carter,Jimmy Carter,Jimmy Carter,Jimmy Carter,Jimmy Carter,Джимми Картер,Jimmy Carter,Jimmy Carter,Джиммі Картер,m
457,Кім Дэ Джун,Ким Де Чун,Kim Dae-jung,Kim Te-džung,Kim Dae-jung,Kim Dae-jung,Kim Dae-jung,Ким Дэ Чжун,Kim Dae Jung,Kim Dae-jung,Кім Де Чжун,m
458,Алан Кормак,Алън Кормак,Allan McLeod Cormack,Allan McLeod Cormack,Allan MacLeod Cormack,Allan McLeod Cormack,Allan McLeod Cormack,Аллан Кормак,Allan McLeod Cormack,Allan McLeod Cormack,Аллан Кормак,m
459,Жан-Франсуа Ліятар,Жан-Франсоа Лиотар,Jean-François Lyotard,Jean-François Lyotard,Jean-François Lyotard,Jean-François Lyotard,Jean-François Lyotard,Жан-Франсуа Лиотар,Jean-François Lyotard,Jean-François Lyotard,Жан-Франсуа Ліотар,m
460,Лі Марвін,Лий Марвин,Lee Marvin,Lee Marvin,Lee Marvin,Lee Marvin,Lee Marvin,Ли Марвин,Lee Marvin,Lee Marvin,Лі Марвін,m
461,Роберт Мугабэ,Робърт Мугабе,Robert Mugabe,Robert Mugabe,Robert Mugabe,Robert Mugabe,Robert Mugabe,Роберт Мугабе,Robert Mugabe,Robert Mugabe,Роберт Мугабе,m
462,Энтані Х’юіш,Антъни Хюиш,Antony Hewish,Antony Hewish,Antony Hewish,Antony Hewish,Antony Hewish,Энтони Хьюиш,Antony Hewish,Antony Hewish,Ентоні Г'юїш,m
463,Бэні Хіл,Бени Хил,Benny Hill,Benny Hill,Benny Hill,Benny Hill,Benny Hill,Бенни Хилл,Benny Hill,Benny Hill,Бенні Гілл,m
464,Жорж Шарпак,Жорж Шарпак,Georges Charpak,Georges Charpak,Georges Charpak,Georges Charpak,Georges Charpak,Жорж Шарпак,Georges Charpak,Georges Charpak,Георгій Харпак,m
465,Зыгмунт Баўман,Зигмунт Бауман,Zygmunt Bauman,Zygmunt Bauman,Zygmunt Bauman,Zygmunt Bauman,Zygmunt Bauman,Зигмунт Бауман,Zygmunt Bauman,Zygmunt Bauman,Зигмунт Бауман,m
466,Барух Сэмюэл Бламберг,Барух Блумбърг,Baruch Samuel Blumberg,Baruch Samuel Blumberg,Baruch Samuel Blumberg,Baruch Samuel Blumberg,Baruch Samuel Blumberg,Барух Бламберг,Baruch Samuel Blumberg,Baruch Samuel Blumberg,Барух Бламберг,m
467,Павел Бяляеў,Павел Беляев,Pàvel Beliàiev,Pavel Běljajev,Pavel Belyayev,Pável Beliáyev,Pawieł Bielajew,Павел Беляев,Pavel Ivanovič Beljajev,Pavel Belyayev,Павло Бєляєв,m
468,Хорхэ Відэла,Хорхе Рафаел Видела,Jorge Rafael Videla,Jorge Rafael Videla,Jorge Rafael Videla,Jorge Rafael Videla,Jorge Rafael Videla,Хорхе Рафаэль Видела,Jorge Rafael Videla,Jorge Rafael Videla,Хорхе Рафаель Відела,m
469,Рой Глаўбер,Рой Глаубер,Roy J. Glauber,Roy Glauber,Roy J. Glauber,Roy Jay Glauber,Roy Glauber,Рой Глаубер,Roy Jay Glauber,Roy Glauber,Рой Глаубер,m
470,Жыль Дэлёз,Жил Дельоз,Gilles Deleuze,Gilles Deleuze,Gilles Deleuze,Gilles Deleuze,Gilles Deleuze,Жиль Делёз,Gilles Deleuze,Gilles Deleuze,Жиль Делез,m
471,Тасіё Іватані,Тошио Иватани,Toshio Iwatani,Tošio Iwatani,Toshio Iwatani,Toshio Iwatani,Toshio Iwatani,Тосио Иватани,Tošio Ivatani,Toshio Iwatani,Іватані Тосіо,m
472,Алія Ізетбегавіч,Алия Изетбегович,Alija Izetbegović,Alija Izetbegović,Alija Izetbegović,Alija Izetbegović,Alija Izetbegović,Алия Изетбегович,Alija Izetbegović,Aliya İzzetbegoviç,Алія Ізетбегович,m
473,Роберт Фрэнсіс Кенэдзі,Робърт Кенеди,Robert Francis Kennedy,Robert Kennedy,Robert F. Kennedy,Robert F. Kennedy,Robert F. Kennedy,Роберт Кеннеди,Robert F. Kennedy,Robert F. Kennedy,Роберт Кеннеді,m
474,Джошуа Ледэрберг,Джошуа Лидърбърг,Joshua Lederberg,Joshua Lederberg,Joshua Lederberg,Joshua Lederberg,Joshua Lederberg,Джошуа Ледерберг,Joshua Lederberg,Joshua Lederberg,Джошуа Ледерберг,m
475,Сімон ван дэр Мер,Симон ван дер Меер,Simon van der Meer,Simon van der Meer,Simon van der Meer,Simon van der Meer,Simon van der Meer,Симон Ван дер Мер,Simon van der Meer,Simon van der Meer,Симон ван дер Мер,m
476,Юкіа Місіма,Юкио Мишима,Yukio Mishima,Jukio Mišima,Yukio Mishima,Yukio Mishima,Yukio Mishima,Юкио Мисима,Jukio Mišima,Yukio Mishima,Юкіо Місіма,m
477,Джорджа Напалітана,Джорджо Наполитано,Giorgio Napolitano,Giorgio Napolitano,Giorgio Napolitano,Giorgio Napolitano,Giorgio Napolitano,Джорджо Наполитано,Giorgio Napolitano,Giorgio Napolitano,Джорджо Наполітано,m
478,Пол Ньюман,Пол Нюман,Paul Newman,Paul Newman,Paul Newman,Paul Newman,Paul Newman,Пол Ньюман,Paul Newman,Paul Newman,Пол Ньюман,m
479,Мая Плісецкая,Мая Плисецкая,Maia Plissétskaia,Maja Plisecká,Maya Plisetskaya,Maya Plisétskaya,Maja Plisiecka,Майя Плисецкая,Maja Plisecka,Maya Plisetskaya,Майя Плісецька,f
480,Пол Пот,Пол Пот,Pol Pot,Pol Pot,Pol Pot,Pol Pot,Pol Pot,Пол Пот,Pol Pot,Pol Pot,Пол Пот,m
481,Джон Попл,Джон Поупъл,John Pople,John Pople,John Pople,John Pople,John Pople,Джон Попл,John Anthony Pople,John Pople,Джон Попл,m
482,Масаноры Токіта,Масанори Токита,Masanori Tokita,Masanori Tokita,Masanori Tokita,Masanori Tokita,Masanori Tokita,Масанори Токита,Masanori Tokita,Masanori Tokita,Токіта Масанорі,m
483,Маргарэт Тэтчэр,Маргарет Тачър,Margaret Thatcher,Margaret Thatcherová,Margaret Thatcher,Margaret Thatcher,Margaret Thatcher,Маргарет Тэтчер,Margaret Thatcher,Margaret Thatcher,Маргарет Тетчер,f
484,Леа Эсакі,Лео Есаки,Leo Esaki,Leo Esaki,Leo Esaki,Leo Esaki,Leo Esaki,Лео Эсаки,Leo Esaki,Leo Esaki,Лео Есакі,m
485,Святлана Алілуева,Светлана Алилуева,Svetlana Al·lilúieva,Světlana Allilujevová,Svetlana Alliluyeva,Svetlana Alilúyeva,Swietłana Alliłujewa,Светлана Аллилуева,Svetlana Alilujeva,Svetlana Alliluyeva,Світлана Аллілуєва,f
486,Дэвід Атэнбора,Дейвид Атънбъро,David Attenborough,David Attenborough,David Attenborough,David Attenborough,David Attenborough,Дэвид Аттенборо,David Attenborough,David Attenborough,Девід Аттенборо,m
487,Інгеборг Бахман,Ингеборг Бахман,Ingeborg Bachmann,Ingeborg Bachmannová,Ingeborg Bachmann,Ingeborg Bachmann,Ingeborg Bachmann,Ингеборг Бахман,Ingeborg Bachmann,Ingeborg Bachmann,Інґеборґ Бахман,f
488,Пол Берг,Пол Бърг,Paul Berg,Paul Berg,Paul Berg,Paul Berg,Paul Berg,Пол Берг,Paul Berg,Paul Berg,Пол Берг,m
489,Джэк Брэбем,Джак Брабам,Jack Brabham,Jack Brabham,Jack Brabham,Jack Brabham,Jack Brabham,Джек Брэбем,Jack Brabham,Jack Brabham,Джек Бребем,m
490,Анджэй Вайда,Анджей Вайда,Andrzej Wajda,Andrzej Wajda,Andrzej Wajda,Andrzej Wajda,Andrzej Wajda,Анджей Вайда,Andrzej Wajda,Andrzej Wajda,Анджей Вайда,m
491,Альсідэс Гіджа,Алсидес Гиджа,Alcides Edgardo Ghiggia,Alcides Ghiggia,Alcides Ghiggia,Alcides Ghiggia,Alcides Ghiggia,Альсидес Гиджа,Alcides Ghiggia,Alcides Ghiggia,Альсідес Гіджа,m
492,Дональд Артур Глазер,Доналд Глейзър,Donald Arthur Glaser,Donald Arthur Glaser,Donald A. Glaser,Donald Glaser,Donald Arthur Glaser,Дональд Артур Глазер,Donald Arthur Glaser,Donald A. Glaser,Дональд Артур Глазер,m
493,Альфрэда Ды Стэфана,Алфредо ди Стефано,Alfredo Di Stéfano Laulhé,Alfredo Di Stéfano,Alfredo Di Stéfano,Alfredo Di Stéfano,Alfredo Di Stéfano,Альфредо Ди Стефано,Alfredo Di Stéfano,Alfredo Di Stéfano,Альфредо Ді Стефано,m
494,Майлс Дэйвіс,Майлс Дейвис,Miles Davis,Miles Davis,Miles Davis,Miles Davis,Miles Davis,Майлз Дэвис,Miles Davis,Miles Davis,Майлз Девіс,m
495,Валеры Жыскар д’Эстэн,Валери Жискар д'Естен,Valéry Giscard d'Estaing,Valéry Giscard d'Estaing,Valéry Giscard d'Estaing,Valéry Giscard d'Estaing,Valéry Giscard d’Estaing,Валери Жискар д’Эстен,Valéry Giscard d'Estaing,Valéry Giscard d'Estaing,Валері Жискар д'Естен,m
496,Інгвар Кампрад,Ингвар Кампрад,Ingvar Kamprad,Ingvar Kamprad,Ingvar Kamprad,Ingvar Kamprad,Ingvar Kamprad,Ингвар Феодор Кампрад,Ingvar Feodor Kamprad,Ingvar Kamprad,Інґвар Феодор Кампрад,m
497,Канстанцінас Стэфанопулас,Константинос Стефанопулос,Konstandinos Stefanópulos,Konstantinos Stefanopulos,Konstantinos Stephanopoulos,Konstantinos Stefanópulos,Konstandinos Stefanopulos,Константинос Стефанопулос,Konstantinos Stefanopulos,Konstandinos Stefanopulos,Константінос Стефанопулос,m
498,Фідэль Кастра,Фидел Кастро,Fidel Castro Ruz,Fidel Castro,Fidel Castro,Fidel Castro,Fidel Castro,Фидель Кастро,Fidel Castro,Fidel Castro,Фідель Кастро,m
499,Генры Уэй Кендал,Хенри Кендъл,Henry Way Kendall,Henry Way Kendall,Henry Way Kendall,Henry Way Kendall,Henry Kendall,Генри Уэй Кендалл,Henry Way Kendall,Henry Kendall,Генрі Кендалл,m
500,Аарон Клуг,Аарон Клуг,Aaron Klug,Aaron Klug,Aaron Klug,Aaron Klug,Aaron Klug,Аарон Клуг,Aaron Klug,Aaron Klug,Аарон Клуг,m
501,Масатосі Косіба,Масатоши Кошиба,Masatoshi Koshiba,Masatoši Košiba,Masatoshi Koshiba,Masatoshi Koshiba,Masatoshi Koshiba,Масатоси Косиба,Masatoši Košiba,Masatoshi Koshiba,Косіба Масатосі,m
502,Зігфрыд Ленц,Зигфрид Ленц,Siegfried Lenz,Siegfried Lenz,Siegfried Lenz,Siegfried Lenz,Siegfried Lenz,Зигфрид Ленц,Siegfried Lenz,Siegfried Lenz,Зігфрід Ленц,m
503,Харпер Лі,Харпър Ли,Harper Lee,Harper Leeová,Harper Lee,Harper Lee,Harper Lee,Харпер Ли,Harper Lee,Harper Lee,Гарпер Лі,f
504,Лізавета II,Елизабет II,Elisabet II del Regne Unit,Alžběta II.,Elizabeth II,Isabel II del Reino Unido,Elżbieta II,Елизавета II,Elizabeta II. Britanska,II. Elizabeth,Єлизавета II,m
505,Мэрылін Манро,Мерилин Монро,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Мэрилин Монро,Marilyn Monroe,Marilyn Monroe,Мерілін Монро,f
506,Бенжамін Мотэльсан,Бен Рой Мотелсон,Ben Roy Mottelson,Ben Roy Mottelson,Ben Roy Mottelson,Ben Roy Mottelson,Benjamin Mottelson,Бен Рой Моттельсон,Ben Roy Mottelson,Ben R. Mottelson,Бен Рой Моттельсон,m
507,Леслі Нільсен,Лесли Нилсен,Leslie Nielsen,Leslie Nielsen,Leslie Nielsen,Leslie Nielsen,Leslie Nielsen,Лесли Нильсен,Leslie Nielsen,Leslie Nielsen,Леслі Нільсен,m
508,Абдус Салам,Абдус Салам,Abu Ahmad Muhammad Abdus Salam,Abdus Salam,Abdus Salam,Abdus Salam,Abdus Salam,Абдус Салам,Abdus Salam,Muhammed Abdüsselam,Абдус Салам,m
509,Мішэль Фуко,Мишел Фуко,Michel Foucault,Michel Foucault,Michel Foucault,Michel Foucault,Michel Foucault,Мишель Фуко,Michel Foucault,Michel Foucault,Мішель Фуко,m
510,Лі Цзундаа,Джъндао Ли,Tsung-Dao Lee,Li Čeng-tao,Tsung-Dao Lee,Tsung-Dao Lee,Tsung-Dao Lee,Ли Чжэндао,Tsungdao Lee,Tsung-Dao Lee,Лі Цзундао,m
511,Цзян Цзэмінь,Дзян Дзъмин,Jiang Zemin,Ťiang Ce-min,Jiang Zemin,Jiang Zemin,Jiang Zemin,Цзян Цзэминь,Džjang Dzemin,Jiang Zemin,Цзян Цземінь,f
512,Пхуміпон Адульядэт,Пхумипхон Адунядет,Bhumibol Adulyadej,Pchúmipchon Adunjadét,Bhumibol Adulyadej,Bhumibol Adulyadej,Bhumibol Adulyadej,Пхумипон Адульядет,Bumibol Aduljadedž,Bhumibol Adulyadej,Пуміпон Адульядет,m
513,Бенедыкт XVI,Бенедикт XVI,Benet XVI,Benedikt XVI.,Pope Benedict XVI,Benedicto XVI,Benedykt XVI,Бенедикт XVI,Papež Benedikt XVI.,XVI. Benedictus,Бенедикт XVI,m
514,Сідней Брэнер,Сидни Бренър,Sydney Brenner,Sydney Brenner,Sydney Brenner,Sydney Brenner,Sydney Brenner,Сидней Бреннер,Sydney Brenner,Sydney Brenner,Сідні Бреннер,f
515,Марцін Вальзер,Мартин Валзер,Martin Walser,Martin Walser,Martin Walser,Martin Walser,Martin Walser,Мартин Вальзер,Martin Walser,Martin Walser,Мартін Вальзер,m
516,Сімона Вейль,Симон Вей,Simone Veil,Simone Veilová,Simone Veil,Simone Veil,Simone Veil,Симона,Simone Veil,Simone Veil,Сімона Вейль,f
517,Ганс-Дзітрых Геншэр,Ханс-Дитрих Геншер,Hans-Dietrich Genscher,Hans-Dietrich Genscher,Hans-Dietrich Genscher,Hans-Dietrich Genscher,Hans-Dietrich Genscher,Ганс-Дитрих Геншер,Hans-Dietrich Genscher,Hans-Dietrich Genscher,Ганс-Дітріх Геншер,m
518,Гюнтэр Грас,Гюнтер Грас,Günter Grass,Günter Grass,Günter Grass,Günter Grass,Günter Grass,Гюнтер Грасс,Günter Grass,Günter Grass,Гюнтер Грасс,m
519,Лешак Калакоўскі,Лешек Колаковски,Leszek Kołakowski,Leszek Kołakowski,Leszek Kołakowski,Leszek Kołakowski,Leszek Kołakowski,Лешек Колаковский,Leszek Kołakowski,Leszek Kołakowski,Лешек Колаковський,m
520,Уладзімір Камароў,Владимир Комаров,Vladímir Komarov,Vladimir Komarov,Vladimir Komarov,Vladímir Mijáilovich Komarov,Władimir Komarow,Владимир Комаров,Vladimir Mihajlovič Komarov,Vladimir Komarov,Володимир Комаров,m
521,Габрыэль Гарсія Маркес,Габриел Гарсия Маркес,Gabriel García Márquez,Gabriel García Márquez,Gabriel García Márquez,Gabriel García Márquez,Gabriel García Márquez,Габриэль Гарсиа Маркес,Gabriel García Márquez,Gabriel García Márquez,Габрієль Гарсія Маркес,m
522,Сезар Мільштэйн,Сесар Милстейн,César Milstein,César Milstein,César Milstein,César Milstein,César Milstein,Сезар Мильштейн,César Milstein,César Milstein,Сезар Мільштейн,m
523,Гары Муліш,Хари Мюлиш,Harry Mulisch,Harry Mulisch,Harry Mulisch,Harry Mulisch,Harry Mulisch,Харри Мулиш,Harry Mulisch,Harry Mulisch,Гаррі Муліш,m
524,Роджэр Мур,Роджър Мур,Roger Moore,Roger Moore,Roger Moore,Roger Moore,Roger Moore,Роджер Мур,Roger Moore,Roger Moore,Роджер Мур,m
525,Карл Аляксандр Мюлер,Карл Мюлер,Karl Alexander Müller,Karl Alexander Müller,K. Alex Müller,Karl Alexander Müller,Karl Alexander Müller,Карл Александр Мюллер,Karl Alexander Müller,Alex Müller,Александр Мюллер,m
526,Улаф Пальмэ,Улоф Палме,Olof Palme,Olof Palme,Olof Palme,Olof Palme,Olof Palme,Улоф Пальме,Olof Palme,Olof Palme,Улоф Пальме,m
527,Марцін Льюіс Перл,Мартин Пърл,Martin Lewis Perl,Martin Lewis Perl,Martin Lewis Perl,Martin Lewis Perl,Martin Perl,Мартин Льюис Перл,Martin Lewis Perl,Martin Perl,Мартін Перл,m
528,Ферэнц Пушкаш,Ференц Пушкаш,Ferenc Puskás,Ferenc Puskás,Ferenc Puskás,Ferenc Puskás,Ferenc Puskás,Ференц Пушкаш,Ferenc Puskás,Ferenc Puskás,Ференц Пушкаш,m
529,Мсціслаў Растраповіч,Мстислав Ростропович,Mstislav Rostropóvitx,Mstislav Rostropovič,Mstislav Rostropovich,Mstislav Rostropóvich,Mstisław Rostropowicz,Мстислав Ростропович,Mstislav Rostropovič,Mstislav Rostropoviç,Мстислав Ростропович,m
530,Анджэла Садана,Анджело Содано,Angelo Sodano,Angelo Sodano,Angelo Sodano,Angelo Sodano,Angelo Sodano,Анджело Содано,Angelo Sodano,Angelo Sodano,Анджело Содано,m
531,Пітэр Фальк,Питър Фолк,Peter Falk,Peter Falk,Peter Falk,Peter Falk,Peter Falk,Питер Фальк,Peter Falk,Peter Falk,Пітер Фальк,m
532,Філ Хіл,Фил Хил,Phil Hill,Phil Hill,Phil Hill,Phil Hill,Phil Hill,Фил Хилл,Phil Hill,Phil Hill,Філ Гілл,m
533,Аляксей Абрыкосаў,Алексей Абрикосов,Aleksei Abrikóssov,Alexej Alexejevič Abrikosov,Alexei Abrikosov,Alekséi Alekséyevich Abrikósov,Aleksiej Abrikosow,Алексей Абрикосов,Aleksej Aleksejevič Abrikosov,Aleksey Abrikosov,Олексій Абрикосов,m
534,Фрэнк Борман,Франк Борман,Frank Borman,Frank Borman,Frank Borman,Frank Borman,Frank Borman,Фрэнк Борман,Frank Borman,Frank Borman,Френк Борман,m
535,Вера Рубін,Вера Рубин,Vera Rubin,Vera Rubin,Vera Rubin,Vera Rubin,Vera Rubin,Вера Рубин,Vera Cooper Rubin,Vera Rubin,Вера Рубін,m
536,Элі Візель,Ели Визел,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Эли Визель,Elie Wiesel,Elie Wiesel,Елі Візель,m
537,Эрнэста Гевара,Че Гевара,Che Guevara,Che Guevara,Che Guevara,Che Guevara,Che Guevara,Эрнесто Че Гевара,Che Guevara,Che Guevara,Ернесто Че Гевара,m
538,Філіп Дзік,Филип К. Дик,Philip K. Dick,Philip K. Dick,Philip K. Dick,Philip K. Dick,Philip K. Dick,Филип Киндред Дик,Philip Kindred Dick,Philip K. Dick,Філіп Дік,m
539,Зульфікар Алі Бхута,Зулфикар Али Бхуто,Zulfikar Ali Bhutto,Zulfikár Alí Bhutto,Zulfikar Ali Bhutto,Zulfikar Ali Bhutto,Zulfikar Ali Bhutto,Зульфикар Али Бхутто,Zulfikar Ali Buto,Zülfikâr Ali Butto,Зульфікар Алі Бхутто,m
540,Франчэска Касіга,Франческо Косига,Francesco Cossiga,Francesco Cossiga,Francesco Cossiga,Francesco Cossiga,Francesco Cossiga,Франческо Коссига,Francesco Cossiga,Francesco Cossiga,Франческо Коссіґа,m
541,Эліяс Джэймс Коры,Елайъс Кори,Elias James Corey,Elias James Corey,Elias James Corey,Elias James Corey,Elias Corey,Элайас Джеймс Кори,Elias James Corey,Elias James Corey,Елайс Джеймс Корі,m
542,Герберт Кромер,Херберт Крьомер,Herbert Kroemer,Herbert Kroemer,Herbert Kroemer,Herbert Kroemer,Herbert Kroemer,Герберт Крёмер,Herbert Kroemer,Herbert Kroemer,Герберт Кремер,m
543,Стэнлі Кубрык,Стенли Кубрик,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Стэнли Кубрик,Stanley Kubrick,Stanley Kubrick,Стенлі Кубрик,m
544,Эніа Марыконэ,Енио Мориконе,Ennio Morricone,Ennio Morricone,Ennio Morricone,Ennio Morricone,Ennio Morricone,Эннио Морриконе,Ennio Morricone,Ennio Morricone,Енніо Морріконе,m
545,Хосні Мубарак,Хосни Мубарак,Hosni Mubàrak,Husní Mubárak,Hosni Mubarak,Hosni Mubarak,Husni Mubarak,Хосни Мубарак,Hosni Mubarak,Hüsnü Mübarek,Хосні Мубарак,m
546,Джон Форбс Нэш,Джон Наш,John Forbes Nash,John Forbes Nash,John Forbes Nash Jr.,John Forbes Nash,John Forbes Nash,Джон Форбс Нэш,John Forbes Nash,John Forbes Nash Jr.,Джон Форбс Неш,m
547,Элвін Тофлер,Алвин Тофлър,Alvin Toffler,Alvin Toffler,Alvin Toffler,Alvin Toffler,Alvin Toffler,Элвин Тоффлер,Alvin Toffler,Alvin Toffler,Елвін Тоффлер,m
548,Шырлі Тэмпл,Шърли Темпъл,Shirley Temple,Shirley Temple-Blacková,Shirley Temple,Shirley Temple,Shirley Temple,Ширли Темпл,Shirley Temple,Shirley Temple,Ширлі Темпл,f
549,Эндзі Уорхал,Анди Уорхол,Andy Warhol,Andy Warhol,Andy Warhol,Andy Warhol,Andy Warhol,Энди Уорхол,Andy Warhol,Andy Warhol,Енді Воргол,m
550,Джэймс Дзьюі Уотсан,Джеймс Уотсън,James Dewey Watson,James Dewey Watson,James Watson,James Dewey Watson,James Watson,Джеймс Уотсон,James Dewey Watson,James Dewey Watson,Джеймс Вотсон,m
551,Ноам Хомскі,Ноам Чомски,Noam Chomsky,Noam Chomsky,Noam Chomsky,Noam Chomsky,Noam Chomsky,Ноам Хомский,Noam Chomsky,Noam Chomsky,Ноам Чомскі,m
552,Арыэль Шарон,Ариел Шарон,Ariel Sharon,Ariel Šaron,Ariel Sharon,Ariel Sharón,Ariel Szaron,Ариэль Шарон,Ariel Šaron,Ariel Şaron,Арієль Шарон,m
553,Эдуард Шэварднадзэ,Едуард Шеварднадзе,Eduard Xevardnadze,Eduard Ševardnadze,Eduard Shevardnadze,Eduard Shevardnadze,Eduard Szewardnadze,Эдуард Шеварднадзе,Eduard Ševardnadze,Eduard Şevardnadze,Едуард Шеварднадзе,m
554,Мая Энджэлаў,Мая Анджелоу,Maya Angelou,Maya Angelou,Maya Angelou,Maya Angelou,Maya Angelou,Майя Энджелоу,Maya Angelou,Maya Angelou,Мая Енджелоу,f
555,Ясір Арафат,Ясер Арафат,Iàssir Arafat,Jásir Arafat,Yasser Arafat,Yasir Arafat,Jasir Arafat,Ясир Арафат,Jaser Arafat,Yaser Arafat,Ясір Арафат,m
556,Бад Спенсер,Бъд Спенсър,Bud Spencer,Bud Spencer,Bud Spencer,Bud Spencer,Bud Spencer,Бад Спенсер,Bud Spencer,Bud Spencer,Бад Спенсер,m
557,Жан Бадрыяр,Жан Бодрияр,Jean Baudrillard,Jean Baudrillard,Jean Baudrillard,Jean Baudrillard,Jean Baudrillard,Жан Бодрийяр,Jean Baudrillard,Jean Baudrillard,Жан Бодріяр,m
558,Жак Брэль,Жак Брел,Jacques Brel,Jacques Brel,Jacques Brel,Jacques Brel,Jacques Brel,Жак Брель,Jacques Brel,Jacques Brel,Жак Брель,m
559,Крыста Вольф,Криста Волф,Christa Wolf,Christa Wolfová,Christa Wolf,Christa Wolf,Christa Wolf,Криста Вольф,Christa Wolf,Christa Wolf,Кріста Вольф,f
560,Мюрэй Гел-Ман,Мъри Гел-Ман,Murray Gell-Mann,Murray Gell-Mann,Murray Gell-Mann,Murray Gell-Mann,Murray Gell-Mann,Марри Гелл-Ман,Murray Gell-Mann,Murray Gell-Mann,Маррі Гелл-Ман,m
561,Фрэнк Геры,Франк Гери,Frank Gehry,Frank Gehry,Frank Gehry,Frank Gehry,Frank Gehry,Фрэнк Гери,Frank Gehry,Frank Gehry,Френк Гері,m
