,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
23,Марлен Дзітрых,Марлене Дитрих,Marlene Dietrich,Marlene Dietrichová,Marlene Dietrich,Marlene Dietrich,Marlene Dietrich,Марлен Дитрих,Marlene Dietrich,Marlene Dietrich,Марлен Дітріх,f
24,Уолт Дысней,Уолт Дисни,Walt Disney,Walt Disney,Walt Disney,Walt Disney,Walt Disney,Уолт Дисней,Walt Disney,Walt Disney,Волт Дісней,m
25,Сальваторэ Квазімада,Салваторе Куазимодо,Salvatore Quasimodo,Salvatore Quasimodo,Salvatore Quasimodo,Salvatore Quasimodo,Salvatore Quasimodo,Сальваторе Квазимодо,Salvatore Quasimodo,Salvatore Quasimodo,Сальваторе Квазімодо,m
26,Жак Лакан,Жак Лакан,Jacques Lacan,Jacques Lacan,Jacques Lacan,Jacques Lacan,Jacques Lacan,Жак Лакан,Jacques Lacan,Jacques Lacan,Жак Лакан,m
27,Маргарэт Мід,Маргарет Мийд,Margaret Mead,Margaret Meadová,Margaret Mead,Margaret Mead,Margaret Mead,Маргарет Мид,Margaret Mead,Margaret Mead,Маргарет Мід,f
28,Нго Дзінь З’ем,Нго Дин Дием,Ngô Đình Diệm,Ngô Ðình Diệm,Ngo Dinh Diem,Ngô Đình Diệm,Ngô Đình Diệm,Нго Динь Зьем,Ngo Dinh Diem,Ngô Đình Diệm,Нго Дінь Дьєм,m
29,Лайнус Полінг,Лайнъс Полинг,Linus Carl Pauling,Linus Pauling,Linus Pauling,Linus Pauling,Linus Pauling,Лайнус Полинг,Linus Carl Pauling,Linus Pauling,Лайнус Полінг,m
30,Эйсаку Сато,Ейсаку Сато,Eisaku Satō,Eisaku Sató,Eisaku Satō,Eisaku Satō,Eisaku Satō,Эйсаку Сато,Eisaku Sato,Eisaku Satō,Сато Ейсаку,m
31,Яраслаў Сейферт,Ярослав Сейферт,Jaroslav Seifert,Jaroslav Seifert,Jaroslav Seifert,Jaroslav Seifert,Jaroslav Seifert,Ярослав Сейферт,Jaroslav Seifert,Jaroslav Seifert,Ярослав Сайферт,m
32,Сукарна,Сукарно,Sukarno,Sukarno,Sukarno,Sukarno,Sukarno,Сукарно,Sukarno,Sukarno,Сукарно,m
33,Энрыка Фермі,Енрико Ферми,Enrico Fermi,Enrico Fermi,Enrico Fermi,Enrico Fermi,Enrico Fermi,Энрико Ферми,Enrico Fermi,Enrico Fermi,Енріко Фермі,m
34,Хірахіта,Хирохито,Hirohito,Hirohito,Hirohito,Hirohito,Hirohito,Хирохито,Hirohito,Hirohito,Імператор Сьова,m
35,Макс Эйвэ,Макс Еве,Max Euwe,Max Euwe,Max Euwe,Max Euwe,Max Euwe,Макс Эйве,Max Euwe,Max Euwe,Макс Ейве,m
36,Уолтэр Хаўзер Братэйн,Уолтър Братейн,Walter Houser Brattain,Walter Houser Brattain,Walter Houser Brattain,Walter Houser Brattain,Walter Houser Brattain,Уолтер Хаузер Браттейн,Walter Houser Brattain,Walter Brattain,Волтер Гаузер Браттейн,m
37,Юджын Вігнер,Юджин Уигнър,Eugene Paul Wigner,Eugene Paul Wigner,Eugene Wigner,Eugene Paul Wigner,Eugene Wigner,Юджин Вигнер,Eugene Paul Wigner,Eugene Wigner,Юджин Пол Вігнер,m
38,Поль Дзірак,Пол Дирак,Paul Adrien Maurice Dirac,Paul Dirac,Paul Dirac,Paul Dirac,Paul Dirac,Поль Дирак,Paul Adrien Maurice Dirac,Paul Dirac,Поль Дірак,m
39,Альфрэд Кастлер,Алфред Кастлер,Alfred Kastler,Alfred Kastler,Alfred Kastler,Alfred Kastler,Alfred Kastler,Альфред Кастлер,Alfred Kastler,Alfred Kastler,Альфред Кастлер,m
40,Хальдаўр Кільян Лакснес,Халдоур Лакснес,Halldór Kiljan Laxness,Halldór Kiljan Laxness,Halldór Laxness,Halldór Laxness,Halldór Kiljan Laxness,Халлдор Кильян Лакснесс,Halldor Kiljan Laxness,Halldór Laxness,Галдор Лакснесс,m
41,Філіп Леклерк,Филип Льоклер дьо Отклок,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque,Филипп Леклерк,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque,Філіпп Леклерк,m
42,Чарлз Ліндберг,Чарлз Линдберг,Charles Lindbergh,Charles Lindbergh,Charles Lindbergh,Charles Lindbergh,Charles Lindbergh,Чарльз Линдберг,Charles Lindbergh,Charles Lindbergh,Чарльз Ліндберг,m
43,Барбара Мак-Клінтак,Барбара Макклинтък,Barbara McClintock,Barbara McClintocková,Barbara McClintock,Barbara McClintock,Barbara McClintock,Барбара Мак-Клинток,Barbara McClintock,Barbara McClintock,Барбара Мак-Клінток,f
44,Георгій Малянкоў,Георгий Маленков,Gueorgui Malenkov,Georgij Maximilianovič Malenkov,Georgy Malenkov,Gueorgui Malenkov,Gieorgij Malenkow,Георгий Маленков,Georgij Malenkov,Georgi Malenkov,Георгій Маленков,m
45,Альва Мюрдаль,Алва Мюрдал,Alva Myrdal,Alva Myrdalová,Alva Myrdal,Alva Myrdal,Alva Myrdal,Альва Мюрдаль,Alva Myrdal,Alva Myrdal,Альва Мюрдаль,f
46,Карл Попер,Карл Попър,Karl Popper,Karl Popper,Karl Popper,Karl Popper,Karl Popper,Карл Поппер,Karl Popper,Karl Popper,Карл Поппер,m
47,Лені Рыфеншталь,Лени Рифенщал,Leni Riefenstahl,Leni Riefenstahlová,Leni Riefenstahl,Leni Riefenstahl,Leni Riefenstahl,Лени Рифеншталь,Leni Riefenstahl,Leni Riefenstahl,Лені Ріфеншталь,f
48,Рудзо Сімідзу,Рюзо Шимизу,Ryuzo Shimizu,Rjúzó Šimizu,Ryuzo Shimizu,Ryuzo Shimizu,Ryūzō Shimizu,Рюдзо Симидзу,Rjuzo Šimizu,Ryuzo Shimizu,Сімідзу Рюдзо,m
